GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,DefaultWebClientErrorDecoderAutoConfiguration,0,22,0,0,0,6,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,ApiExceptionHandler,18,230,9,11,3,53,9,8,0,7
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,ApiExceptionHandlerAutoConfiguration,0,55,0,0,0,20,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,RestApiExceptionMapperForWebFluxAutoConfiguration,0,46,0,0,0,11,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionMapperBootProperties.ExceptionMappingImpl,3,26,2,2,1,9,2,2,0,2
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionParserAutoConfiguration,5,55,0,0,0,17,1,6,1,6
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionMapperBootProperties,0,92,0,0,0,21,0,2,0,2
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,ApiExceptionResolverAutoConfiguration,0,63,0,0,0,19,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,FeignClientExceptionErrorDecoderAutoConfiguration,0,25,0,0,0,8,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,RestApiExceptionMapperForWebAutoConfiguration,0,45,0,0,0,10,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,RestTemplateErrorHandlerAutoConfiguration,0,21,0,0,0,7,0,3,0,3
